iter	Passed	Remaining
892	5450	653
893	5456	646
894	5462	640
895	5468	634
896	5475	628
897	5481	622
898	5488	616
899	5494	610
900	5500	604
901	5507	598
902	5514	592
903	5520	586
904	5527	580
905	5533	574
906	5539	568
907	5545	561
908	5552	555
909	5558	549
910	5564	543
911	5570	537
912	5586	532
913	5593	526
914	5600	520
915	5607	514
916	5613	508
917	5619	501
918	5626	495
919	5632	489
920	5640	483
921	5647	477
922	5654	471
923	5660	465
924	5666	459
925	5673	453
926	5680	447
927	5687	441
928	5694	435
929	5701	429
930	5707	422
931	5713	416
932	5719	410
933	5726	404
934	5733	398
935	5739	392
936	5745	386
937	5751	380
938	5757	374
939	5763	367
940	5769	361
941	5776	355
942	5782	349
943	5788	343
944	5795	337
945	5801	331
946	5807	325
947	5813	318
948	5820	312
949	5827	306
950	5835	300
951	5843	294
952	5850	288
953	5873	283
954	5879	277
955	5885	270
956	5891	264
957	5898	258
958	5904	252
959	5909	246
960	5916	240
961	5924	234
962	5931	227
963	5938	221
964	5945	215
965	5951	209
966	5958	203
967	5965	197
968	5972	191
969	5979	184
970	5987	178
971	5993	172
972	6000	166
973	6008	160
974	6015	154
975	6023	148
976	6030	141
977	6036	135
978	6042	129
979	6050	123
980	6056	117
981	6063	111
982	6070	104
983	6077	98
984	6085	92
985	6092	86
986	6099	80
987	6106	74
988	6112	67
989	6119	61
990	6126	55
991	6133	49
992	6149	43
993	6155	37
994	6162	30
995	6167	24
996	6173	18
997	6180	12
998	6187	6
999	6193	0
